AE 771 — Nozzle Coordinates
==========================================

RAO NOZZLE
------------------------------------------
      x (in)        y (in)       -y (in)
  104.577012     32.898817    -32.898817
  105.325753     33.099442    -33.099442
  106.074495     33.300067    -33.300067
  106.823237     33.500692    -33.500692
  107.571979     33.701316    -33.701316
  108.320721     33.901941    -33.901941
  109.069463     34.102566    -34.102566
  109.818205     34.303191    -34.303191
  110.566946     34.503816    -34.503816
  111.315688     34.704440    -34.704440
  112.064430     34.905065    -34.905065
  112.813172     35.105690    -35.105690
  113.561914     35.306315    -35.306315
  114.310656     35.506939    -35.506939
  115.059398     35.707564    -35.707564
  115.808139     35.908189    -35.908189
  116.556881     36.108814    -36.108814
  117.305623     36.309438    -36.309438
  118.054365     36.510063    -36.510063
  118.803107     36.710688    -36.710688
  119.551849     36.911313    -36.911313
  120.300591     37.111938    -37.111938
  121.049332     37.312562    -37.312562
  121.798074     37.513187    -37.513187
  122.546816     37.713812    -37.713812
  123.295558     37.914437    -37.914437
  124.044300     38.115061    -38.115061
  124.793042     38.315686    -38.315686
  125.541784     38.516311    -38.516311
  126.290525     38.716936    -38.716936
  127.039267     38.917561    -38.917561
  127.788009     39.118185    -39.118185
  128.536751     39.318810    -39.318810
  129.285493     39.519435    -39.519435
  130.034235     39.720060    -39.720060
  130.782977     39.920684    -39.920684
  131.531718     40.121309    -40.121309
  132.280460     40.321934    -40.321934
  133.029202     40.522559    -40.522559
  133.777944     40.723184    -40.723184
  134.526686     40.923808    -40.923808
  135.275428     41.124433    -41.124433
  136.024170     41.325058    -41.325058
  136.772911     41.525683    -41.525683
  137.521653     41.726307    -41.726307
  138.270395     41.926932    -41.926932
  139.019137     42.127557    -42.127557
  139.767879     42.328182    -42.328182
  140.516621     42.528807    -42.528807
  141.265363     42.729431    -42.729431
  142.014104     42.930056    -42.930056
  142.762846     43.130681    -43.130681
  143.511588     43.331306    -43.331306
  144.260330     43.531930    -43.531930
  145.009072     43.732555    -43.732555
  145.757814     43.933180    -43.933180
  146.506556     44.133805    -44.133805
  147.255297     44.334430    -44.334430
  148.004039     44.535054    -44.535054
  148.752781     44.735679    -44.735679
  149.501523     44.936304    -44.936304
  150.250265     45.136929    -45.136929
  150.999007     45.337553    -45.337553
